,text
10,"Masih setia sama anker soundcore select. walau midbassnya ngak wah, tapi subbass, vokal dan detailnya saya suka banget. Tapi ngelihat video ini jadi kegoda sama eggel fit 3, murah lagi."
11,Yang saya suka dr video Gadgetin tanpa ragu nyebutin harga produk saat unboxing . Beda dengan kebanyakan channel sebelah ragu dan seperti diprivasi nyebutin harga. kan bangke jdnya.
12,"Batre removable di speaker Mitsuyama fitur underrated yang harusnya lumayan penting menurut gw.
Di rumah ada 2 bluetooth speaker jadi bangkai gara2 batrenya soak, 1 lagi port chargernya rada2, jadi dianggap setengah rusak. Mungkin juga karena 3 itu merek2 'biasa'. 
Yang JBL Go masih oke udah 2tahunan lebih."
13,"Aku lebih suka sm GMC 881a 
Soalnya harganya terjangkau kisaran 150rebuan,,dah gitu Spesifikasinya diatas rata2 dri harga 150an..outputnya itu loh 20W so pasti..emezing 
Pilihan lain ada Vivan Vs6 / Vs20,Tecnix  SPK B080,Gmc 881c"
14,"Akhirnya review eggel, emang keren si brand lokal ini. Punya terra 3 mini, udh waterproof Ip67, tws, rgb, play tame cukup lama, suara ngebass. Ga nyesel beli produk eggel"
15,"Setelah sebulanan stok bluetooth speaker Eggel habis di tokped, akhirnya stoknya udah ready dan hari ini kesampaian beli
Makasih bang David udah direview, aku juga punya yg versi TWS nya. Kalo soal kualitas produk lokal mah Eggel gak ada tandingannya "
16,Tolong buat konten gini lagi Bang  Bang David kalo buat konten nyoba2 barang emg paling the best sih 
17,cuma dapit yang bisa bikin video review 48 menit tapi gak bosen. wkwkw.. keep up the good work bro
18,"Gue punya Eggel Active 2 pro, ga nyesel belinya. Kualitas suara bagus banget, bassnya ngisi, anti air juga"
19,"Makasih bang iqbal dan bang kevin, akhirnya aku bisa milih speaker bluetooth yang sesuai budget tanpa harus di beli dan coba semua yang harganya sesuai budget aku, makasih juga bang david udah ngereview, btw di menit 33:35 suara bang david kok berubah jadi laki banget wkwk"
20,"gw pake eggel elite gen pertama yg bodynya kokoh sekali bisa di pake buat nimpuk maling wkwkw dan pastinya anti air. dulu beli sekitar 400rban kalo gasalah. suara mantap ada bass mode. battre awet bisa di pake semaleman ampe subuh dengan vol full, kalo vol 20-30% dipake sehari 4-5 jam bisa tahan sekitar 3-4 harian. product lokal gada dua si ini, puas pokoknya"
21,"Sampe di ulang berkali kali pas bang David dengerin suara dari bass nya Bose, jadi pengen tapi ga mampu beli dengan harga segitu hhe"
22,"Dulu beli bt speaker Oontz Angle 3 (bukan yang solo) gara2 video bang David juga. Alhamdulillah dari 2018/2019 saya lupa tepatnya masih awet sampe sekarang, suara yang dihasilin juga udah cukup bgt menurut telinga saya, cocok banget buat nonton film sama dengerin musik. Sering dibawa juga buat nemenin cuci motor sama mobil karena dia udah water resistant jadi gaperlu takut kena air wkwk. Enaknya ada aux jadi kalo buat setup tinggal colok. Penggunaan saya seminggu lebih baru abis batrenya.

Dulu beli di harga 400rb berasa upgrade banget dari logitech z berapa ya lupa wkwk"
23,"Begitu nyalain Bose Soundlink Revolve+ II semua yg udah di review auto tewas  emang harga & merk ga boong ya bang. One of Indonesian audiophile expert pernah bilang di kontennya kurang lebih begini ""beli produk audio dari merk yang emang spesialis di audio, bukan cuma merk yang menang model, harga ato gengsi"". Bose is one of the specialists. Thanks reviewnya bang makin nambah ilmu per-spiker-an murah duniawi "
24,Konten kaya gini sebenernya bermanfaat buat yang sering bingung pas mau beli speaker bluetooth online biar tau merk dan tipe yg mana yg plg rekomend berdasarkan uji coba lngsung
25,"Thanks kak David, saya jadi punya referensi yg bisa di andalkan untuk memilih speaker bluetooth.
Soalnya pas lagi nyari speaker bluetooth juga, untuk nonton film-film netflix di rumah "
26,"Sebagai user setia eggel saya merasa bangga
Dari eggel terra 2, terra 3 plus dan eggel buds dengan kualitas bagus diharga yg terjangkau itu sangat worth it
Bahkan eggel terra 2 udah hampir 4 tahun pemakaian masih normal tanpa kendala"
27,Acome A9 ku juga udah tahan 1 tahunan dan emang bagus sih. suaranya ngalahin mi pocket speaker 2 yg pernah gw beli.
28,"Team eggel. Punga fit3 dan emang suaranya paling balance basnya gk over, treble, vokal dan lainnya pas
Delay nya juga minim banget ngak kerasa. Sangat netflixable"
29,"Speaker pertama sy mifa f7 ukuranya kecil, enak banget suaranya bass bulet, cma udh drop baterainya.
Skrang pindah ke harman kardon aura 2 udh hmpir 2thun pakai, puas banget.. suaranya jernih, bass manjain kuping.
Detail2 suara di lagu/film yg ga kdengeran di earphone/ speaker murah di aura 2 ini bisa kedengeran. Jadi berasa nonton di bioskop. 
Harga emng ga bohong sih, wort it banget pakai dikamar buat beberpa tahun kedepan."
30,"ACOME A5 yang di review 30:10 ini gue udah pake hampir 2 tahun. kalo buat pemakaian harian kayak gue yg juga WFH dan naro speaker bluetooth di meja buat hiburan musik kala kerja sangat worth it, apalagi ada jam digital nya juga yang cukup besar dan terang nyaman dilihat. hati2 aja sama layar jamnya yang material kaca sih. speaker ini juga bisa FM radio tapi perlu kabel chargernya yg dicolok sebagai antena pencari sinyal...
harganya emang segitu, dibawah 100K tapi super worth it gabohong, value for money lah guys.."
31,"Tontonan pas lagi makan siang atau istirahat kerja
Walaupun jarang beli barang yg diriview tapi suka aja sama pembawaan bang david"
32,"Fit 3 emang bagus banget. Harga, kualitas, semuanya. Sebagai guru yang butuh speaker buat audio listening, harga murah, ringkas, ini salah satu pilihan terbaik."
33,Ternyata Kopi Kapal Api Special Mix Gula Aren nikmat sekali 
34,kalo untuk peminat bass mmg kebantu sih.. dan kalo peminat musik pasti ngarah ke balance. Apa lg kalo suaranya luas..bass nya bulet padet bener.. treble nya ok.. mid bass nya pun ok
35,"JBL Go 2 nya udah 100% saya pastikan KW itu Om David. Jadi gak fair kalau dijadikan acuan. Toko yang jual JBL GO 2 ditokopedia itu udah terkenal jual barang KW dengan dalih kualitas OEM. JBL Go 2 tidak mungkin ada yang jual dibawah 280,000."
36,5jam kemudian barang yg dinilai baik oleh mr.david bs dipastikan naik harga di marketplace.
37,sering sering bang buat konten kayak gini. gue suka ekspresi lu  (sekalian bisa nambah refrensi buat yg mau beli)
38,"Sehat selalu buat keluarga besar GadgetIn beserta team dan juga kita semua amin.... 
Semoga murah rejeki, dan tidak lelah untuk bikin konten terus ️"
39,"Acome emang bagus"" sih, gw langganan klo spiker dan brng elektronik lain. Harganya murah, tpi kualitas nya ok lah"
40,Pas banget lagi cari speaker bluetooth murah buat bertani 
41,"bang david kayaknya harus nyoba merk Lenyes dehh ehehe, bisa saingan sama eggel menurut saya"
42,"Seru banget nge test speaker nya, ikut senang liat koh David senang... Wkwkwk..."
43,FYI menurut gua merk ACOME itu lumayan bagus bang. Soalnya gw beli tws ACOME T2 harga 200rb'an suaranya balance bgt. Karakter suaranya kya earphone bawaan samsung
44,"Biar semuanya speaker kerehore, tetep 20 speaker jumlahnya..  Mantap bang david "
45,"Wkwk gasalah beli gua 1thn yg lalu pilih acome alarm jam, soalnya dulu pengen punya speaker yg sekalian ada fitur jamnya buat pajngan juga. Sempet bingung banget pertimbanginnya karna banyak merek speaker yg ada jam nya. Mayann laa dapet harga 71rb 1thn yg lalu

Sekarang udah 99rb yak"
46,"Kerennya lagi Eggel Fit 3 ada fitur tws nya juga, jadi kalo punya 2 speaker bisa disambungin berbarengan biar output suaranya stereo."
47,Sebagai pemakai acome saya ikutan bangga juga.
48,"Eggel terra 2 Eggel terra 3+ dan punya Eggel fit3 ini yg sering sy bawa kemana mana harga 150 an suara baterai material design oke buat nongki sore sama temen2,keren Eggel!"
49,Wah.. Kebetulan banget nih saya lagi nyari speaker bluetooth.. Jdi dri video ini bisa jdi referensi buat saya.. Thanks banget bang David
50,"Saya termasuk orang yang sering atau bahkan setiap hari pake speaker bluetooth di ponsel saya... menurut saya Robot bagus suaranya (bulet dan bass), Speaker satu lagi juga bagus yang ada mic nya... mereka semua bagus sound nya, cuman permasalahan yang saya temui selalu dibagian port cass nya selalu bagian itu yang rusak.
Dan sekarang saya ganti pake merek Kisonli dia ada 3 speaker ukurannya sedang dan gapakai cass alias langsung dan untuk sekarang masih awet..

Jadi saran saya belilah yang colokan langsung tanpa cassan... kalo mau dibawa kemana"" pake aja power bank, lagian juga ga terlalu perlu banyak daya buat idupin speaker bluetooth, harga cuman 100an..."
51,"Bang, bikin konten kaya gini lagi dgn brand yg berbeda. Soalnya produk yg lu rekom pada sold out di berbagai marketplace. "
52,"sangat mengkhawatirkan, speaker² yg dipuji bang David bakal naik harganya setelah video ini "
53,"kalo untuk simbada sih blutut speaker nya emang kurang nendang, tapi kalo simbada yang subwoper boleh di adu hahah"
54,20:13 ntah kenapa saya suka dengar speker bt merk kisonli G1 suaranya rame banget bass nendang juga teruss desain nya ala2 klasik gitu dan 33:19 speker bt acome A 10 dan 22:45 spker bt eggel dan yg terakhir 47:43 speker boose palingg mantappp polllllll
55,Asli ini mah the best review.. sekalinya d bandingin lgsung 20 pcs.. salute.. konten gabut yg berfaedah dan ga ngasal 
56,Sangat berguna untuk pecinta musik low budget. Thank you
57,"masih stay di Mifa F10 meskipun bodynya dah rusak karna sering jatoh, tpi bassnya nendang karna speakernya make subwoofer yg keren"
58,Kalo untuk yang lewat listrik langsung sama yg portabel / pakai colokan hp. apakah ada pengaruh ke kualitas suara?? Misal lebih gahar yg pakai colokan listrik langsung karna daya lebih gede.
59,Wah kebetulan banget nih! Gw lagi nyari Speaker Bluetooth yang murah tapi lumayan enak separasi audionya. Lanjutkan bang David 
60,"yang versi high endnya bang, penasaran seberapa jauh perbedaan harga dan kualitas."
61,"saya punya yg acome a1, penasaran dengan fitur twsnya jd saya beli 2 dan lg dulu harganya 60 rbu 1nya.. suaranya jd stereo dan oke klo dijdiin tws.. smpai sekarang awet pernah dibanting sma anak wkwk"
62,kak ad speaker bluetooth yg saling connect ga si kak? yang kecil harga jg terjangkau
63,Sebagai pengguna baru merk acome emang sebagus dan semurah itu barangnya. Pertama kali nyobain headset nya langsung weeh kapan lagi pake barang murah kualitas wah. Terus nyoba mousenya juga karena kecewa sama merk sebelah yang udah punya nama tapi bisa dipakenya bentar doang. Sampe sekarang keterusan pake merk acome.
64,"BT speaker bagus murah banyak, tapi durabilitas yg mahal, percaya deh, JBL Flip 5, sama Mifa A10 suaranya sama sama mantep, sama sama beli di 2017, jbl masih utuh, suara masih mantap, Mifa A10 modul speaker nya karet nya udah sobek & suara Sember. Di lem keliling baru mantep lagi"
65,"kebetulan banget lagi nyari2 review bluetooth speaker yang ada jamnya ternyata di review juga, siap2 harga naik nih..."
66,"speaker simbadda nya harus di letakin di meja bang, kalau di angkat2 gitu emang kurang berasa bass nya, karna subwoofer nya ngadap bawah, saya punya soalnya simbadda itu, cuman yaa untuk tombol2 nya jelek sih, kadang terbenam karna karet tadi"
67,Akhirnyaaa... udah dari lama cari2 bluetooth speaker selain jebeel yg ga nguras kantong. Rasanya kurang yakin kalo belum di review sama gadgetin 
68,"Saya punya Eggel fit 3 , saya pilih krn banyak riviewer yg rekomendasiin. Dan ternyata  puas banget .
Rencananya mau beli Eggel Terra mini 3"
69,"pas banget, dari kemarin bingung mau cari bluetooth speaker "
70,"telat banget baru nonton, speaker Acome A10 udah abis dimana-mana  akhirnya beralih ke Eggel "
71,"menurut saya speaker bluetooth terbaik, merk GMC 881B
suara stereo dan bass nya nendang
fitur oke bangetlah"
72,"kontennya kocak bang David, mulai dari speaker belah 2 sampe ada yang desainnya jiplek wkwkwkwk"
73,bang David wajib coba bluetooth speaker merek Comson
74,kangen liat bang david review sambil jalan jalan 
75,"Awal Maret 2022, aku beli Acome A5 di salah satu aplikasi marketplace. Aku beli ini bukan karena speakernya malah, tapi lebih ke jam alarmnya. Suaranya sih enak dan lantang. Malah saat dibawa ngerjain prototipe untuk tugas akhir, temen sampe suruh nurunin volume suara speakernya gegara kedengeran di lantai 1 (aku ngerjainnya di lantai 2). Aku nonton review ini senyum-senyum sendiri pas Bang David kaget dengan harga yang murah (BTW aku beli speakernya di harga 109 ribu, tapi per hari ini (12 Juli 2022) ngecek lagi harganya 93 ribu). Bersyukur banget sih dapet yang ini.

BTW aku nonton video ini di laptop, tapi audio dihubungin sama speaker Acome A5 punyaku."
76,"Senang nya speaker yg ada lampu led, sama bass yg mantab."
77,"bang kayanya di hp bisa di ubah itunya yg untuk jenis rock, jaz, bass dll biar lebih cocok untuk speakernya..."
78,"Sy pake eggel active 2, keren sih... type c charger,  harga 200rb an"
79,"Bahas speaker bluetooth level flagship bang, dri masing"" merk terkenal
Biar tau mana yg the best "
80,Nonton nya udah 2 bulan lalu tapi ini mau nonton lagi karena pengen beli speaker murah
81,"Oontz emang mantab sih, udah pake angle solo 2 tahun ini suara mantab untuk musik dominan bass kalo acoustik""an masih kurang sih detail clarity, menurut gw minusnya cuman di segi baterai kalo udh dibawah 50% volume dikurangin otomatis jadi gabisa di geber sampe 0%"
82,Ngakak ama expresi bang david saat barang dia tebak ketinggian ternyata harga nya murah hahahaha ngakak gw…
83,Bang coba deh review DAZUMBA AUDIOPAD DAG08 sejenis audio mp3 tapi masih pakai kabel. Mungkin bisa direkomendasikan. Untuk audio yang lebih baik tempelkan pad speakernya pada media yang datar seperti meja/kaca/box sterofoam. Bass akan meningkat. Terima kasih
84,"bang saya mau beli speaker rekomendasi abang nya, edun rata rata kosong semua, ada eggel fit 3 harganya jadi naik. emang bener bener hebat bang david ini kalo ngasih tau sesuatu barang elektronik pasti aja cepet laku "
85,"Recommended bang speaker BT TWS murah , namanya SK100 saya pake uda setaun awet ,batre oke ,suara sorruond & bass oke , harga 100 ribuan dapet 2 speaker karena System TWS stereo ,mantap pokona mah haha"
86,"Bang saran, biar tau sound yg di hasilkan speaker bluetooth tsb. Selain dgn lagu"" yg slowly, coba juga dngan lagu rock & metal bang.."
87,"emang youtuber jujur bang david, pertahankan bang!"
88,Aku pake eggel udah 1.5 tahun dan seenak itu. Dulu sempet bingung mau jbl atau eggel tapi suka bgt ama eggel. Parah. Enak bgt seenak itu.
89,"yg hasil reviewnya bagus, barangnya langsung ""ilang""  mungkin nunggu 1, 2 bulan baru muncul lagi dengan ""harga baru"" 
emang the best oran Indonesia ini "
90,"Ini yg saya tunggu²,memang bng David tau isi hati orang"
91,"Speaker robot rb100 yang gua pake buat nonton video ini , Trus waktu itu gua beli harganya 60 ribu pas promo, klo suaranya udh bagus sih jernih klo dengar lagu nya di kualitas terbagus"
92,"Seru nontonin sampe akhir, ditutup dengan ""the real speaker"" serasa party langsung"
93,"udah punya vivan vs12 pemakaian 10 bln, bagus suaranya diharga 260rb bass nya nendang"
94,"Bang coba rekomendasikan tingkat sensitif layar sentuh ponsel

Kadang banyak hape performanya udha bagus
Tapi di kualitas sentuh layarnya kurang
Untuk kita yg suka gaming agak menjengkelkan
Harus beberapa kali di sentuh kadang baru peka"
95,Bang speaker2 yg sdh di review di list dong dr yg paling bagus plus tipe Serie nya...biar nyarinya mudah kalau mau beli...tq bang David
96,"Sedikit informasi untuk Speaker MKC KIMISO, saat kondisi box terbuka seperti itu suara tidak akan menjadi maksimal, beda kalo boxnya tertutup, suaranya lebih ulem nggak terlalu kasar"
97,"Gua punya ecle yang terakhir lagi  mayan lah suaranya, tinggal setting setting equalizer di hp aja biar makin mantep.. "
98,"FYI Brand Acome, Robot, dan Vivan itu sama-sama dibawah naungan Wook Global Technology jadinya banyak produk mereka yg sekilas terlihat sama baik secara fisik maupun kualitas suaranya juga mirip"
99,"Eggel fit 3 lebih keluar taji nya lagi klo beli lsg dua pcs.. Masuk mode True Wireless Stereo nya.. Pairing nya mudah banget.  Lalu bener2 stereo. Klo hanya channel kiri yang bunyi.. Hanya sisi kiri fit3 nya juga yg bunyi.. Pake dua pcs dgn jarak aga jauhan, soundstage nya langsung nambah buanyaakkkk.. Tapi suara nya tetep berasa keluar dari tengah2"
100,"Entah mengapa makan jd lebih seru dan lahap sambil liat video dari bang David,,  

Btw, That Sony Xperia 1 IV are "
101,Speaker Niko jarang ada orang yg tau di Niko JS AQ suaranya ngebass dan bagus kayak speaker seharga 300rb padahal speaker seharga 100rb. Dan layak untuk direview di youtube
102,"25:02 kimiso itu watt nya yg ditulis adalah watt PMPO, dimana output puncak diukur dalam jangka mikro detik, jadi seperti daya maksimal yg bs dikeluarkan speakernya dalam hitungan singkat (mikro detik). beda sama watt biasa alias nilai yg didapat dari ampere x volt.
Biasanya PMPO ini ditulis diboks speaker2 biar jd gimmick, memanfaatkan keawaman orang mengenai PMPO, biar dikira watt biasa"
103,Suka banget sama model speaker kisonli G1 klasik ...mantap!!!
104,"-Vivan ada fitur tws nya (kalau ada 2, bisa jadi stereo), ada input jack 3.5mm, colokan powernya udah type-c

-Speaker robot yg ada jam nya, ada fitur sensor suhunya, baterai boros pake bgt"
105,Produk acome baru pake yg acome akm2000 keyboard+mouse combo lumayan lah buat ngetik tugas2 kuliah ga terlalu ribet dibawa2 krna udh pake dongle
106,"Bang, review ear Buds lagi dongg.. Kl bisa dibikin per 6 bulan. Jd ada rekomendasi eaebuds terbaik dlm 6 bln terakhir.. Makasih Bang.. "
107,Pengen banget speker bluetooth tapi pada mahal2 
108,Eggel parah.. mantep banget..udh pernah pake..cuma kurang di build material aja..yaa sebanding sih sama harga
109,Ga bosen klo lihat review nya ko david
110,coba bluetooth speaker high end dong bang biar tau worth apa ngga hehe
111,"pas banget lagi mau nyari  bluetooth speaker, ehh ada babang dapit review, thanks bang"
112,Akhirnya setelah nonton video ini saya beli Speaker bluetooth.. setelah sekian lama bingung mau beli yg gimana ..
113,"Punya eggel dan Vivan VS12 jernih masih kalah sama ehgel, tp di bass nya sangar.. tp kalau nonton film vs12 sangar sih apalagi action"
114,"Kalo mau beli Zealot, beli yang tipe zealot S31. Bassnya enak dalam ruangan."
115,"Speaker JBL terlihat tidak meyakinkan, semoga bukan barang KW bang, soalnya punya JBL Go yg pertama (bentuk kotak) lebih enak suaranya. Beli 255rb, Oktober 2020."
116,"Untung dah beli eggel fit 3, habis review dapet review bagus biasanya bakal ghoib"
117,Punya ecle dan acome dan gw akuin acome tahan banting dan lebih awet. Beli ecle udh 2kali dan skrg ga bisa bunyi lg 
118,"Sama seperti hobi aku , suka koleksi audio seperti itu "
119,itu JBL aslinya 700rb. sekarang harga yg ori JBL Go 2 400rb. hati2 meek JBL banyak yg palsu dan yg di review adalah barang palsunya aslinya suaranya lembut banget.
120,"Sedikit info, kalau buat jualan ada razia postel dari menkominfo produknya T5 bahaya bisa kena denda sampai puluhan juta tergantung seberapa banyak barangnya "
121,"Pernah beli speaker blutut merk advand , sama merk  javi  ,, masih awet aman ,, harga nya yg dibawah 200 ribuan"
122,Speaker lenyes paling mantap bass refleks nya+waterproof LG
123,"Bang. Rekomendasi handphon yg cocok buat driver ojol. Murah tapi enaklah GPS dan baterenya. Klo bisa sih, yg anti air juga. Biar enak dipakai hujan2 hahaha"
124,"Harganya unexpected karena memang harga produk itu menyesuaikan pasar (supply demand) bisa jadi suatu produk lebih tinggi harganya melebihi kualitasnya dikarenakan faktor lain yg menarik kayak hype, brand, SEO, ads, dll"
125,"Cobain DJ remix Indonesia bang. 
Karna rata rata itu beli bluetooth speaker buat dengerin lagu nge bas 
Dan cari speaker yang nge bas"
126,"Pakai acome A1 sama a2 aman,batrei awet suara jg lumayan,yg A1 sudah hampir 2 tahun yg A2 sudah setahun"
127,Review terpanjang sih ini ...emang gadgetin mantab dlm me review barang
128,"kalo gw sebelah rumah bang david pasti dah setiap hari bisa denger lagu walau bersebelahan wkwkwk
Btw lama ga bahas jam tangan bg "
129,"Manteb nih , jarang2 ada yg ngomongin speaker murah "
130,"gw slalu suka chanel ini, dr pembawaannya david dan riviewnya bermanfaat"
131,"Bang mp3nya yang format 320kbs biar manteb, karena pasti beda outputnya setiap speker"
132,"Sudah saya bilang kalo acome a5 bagus, saya udah pake 1 tahun lebih dan masih awet sampai sekarang, 
 waktu saya beli dikasih bonus micro sd acome 8gb harga 50.000 gratis"
133,Kalau speaker JBL go 2 sama acome 11 atau eggel itu overal pilih mana ? Jangan dilihat dari budget cmn pngn tau kualitas bnyk yg lebih kemana ? 
134,"Kebetulan banget nih bang, saya llagi nyari speaker bluetooth yg suaranya bagus "
135,Review Headphone Bluetooth borongan kayak gini dong bang. Saya lebih tertarik sama headphone daripada TWS ato speaker.
136,"Harusnya coba produk Anker, Mifa / Xiaomi cukup terjangkau dan suara ok utk harganha"
137,"acome a5 gw make 1 thn an masih bagus banget buat di pake sama nambah dekorasi kamar
kalau buat mode jam doang bisa tahan 4 harian"
138,"buset, panjang videonya 48 menit & saya tonton dari awal sampe habis 

selain kualitas suara, saya biasanya lebih suka yg ada port aux/3.5mm."
139,Yang sampai membuat bang davin sampai kaget yaitu kizonly power suaranya paling mirip sama yg harga 6jt hehe..
140,Angker soundcore sih paling debest menurut saya 
141,Lebih penasaran pemampuan speakernya untuk di outdoor
142,"Pas pertama dibuka oontz.. wah.. ini.. sy percay sma brand ini sih. Sama eggel juga. Saya punya skrg eggel active. Tapi beli udh lama, belum banyak model dgn pilihan murah saat itu. Jadi kalo diliat skrg harganya berasa kemahalan. Tpi kalo soal suara, tetep asik. Pilihan brand kalo saya oontz egel jbl sama mifa. Kalo ada duit mending beli bose micro aja sekalian"
143,"Itu yg jd perbandingan di awal Oontz angle solo ya? Kalo dibanding Oontz Angle 3 gimana bang? Masih worth it ga dengan saingannya di harga 370an?

Btw maen MH Rise juga ternyata bang, mantap"
144,"Makasih bang, gara gara lu gw ikutan coba test crab rave di airpods 3 gw, emg manteb bener "
145,"Gw pake acome juicy a1 udh setahun lebih msh worth it lah, n kebetulan waktu itu lg promo 150 dpt 2 n bebas ongkir,beli nya ya pasti d tokopedia"
146,"Pengalaman gua, Acome A5 mantep selain speaker juga ada fitur penting kayak jam sama alarmnya. Speakernya juga awet, biasanya gua pake musik buat turu dari malem sampe pagi bangunin gua. 93 ribu worth it"
147,"Setiap ada segmen kek ini, viewer pasti ikut nebak harga, bedanya nebak harga yang bakal ditebak sama bang david"
148,"Gisonli keren, lumayan bisa ngeramein kamar yg pingin desain ala ala vintage"
149,"Aku punya yg robot harga 90k itu batrenya awet bgt mana suaranya juga gede dan ngebas, dijamin ga nyesel kalo beli haha"
150,Penutupan nya sih paling suka langsung dengan speaker mahal dan ori wkwk
151,"Barang-barang yang direview di GadgetIn kalau gak stoknya yang habis, ya harganya yang melambung di Toped. "
152,"Bang David and team, untuk JBL GO 2 nya sepertinya itu yang versi KW. Saya sudah beberapa tahun terakhir memakai yang JBL GO 1 dan nada openingnya nggak seperti itu (hanya satu nada blub aja untuk nyalain/matiin/connect bluetooth)
 :')

dan kemarin temen sempat beli juga, 115rb untuk JBL GO 2, suara nyalainnya mirip kaya yg bang david review (kualitas suara juga jauh dari bagus), and yes.. itu KW wkwk.

kalo kita lihat di marketplace original JBL, harga JBL GO 2 849rb, bukan 194rb"
153,"Trauma beli bluetooth speaker 3 kali .Baterai cepat soak. 
Sekarang pilih pakai speaker aktif +bluetooth langsung colok listrik."
154,"Mending konten nyobain barang aneh sih bang David, soalnya setiap test produknya lebih seru aja"
155,"Saran bang, sekali-kali review borongan tws or speaker dari brand lokal"
156,YANG PALING PENTING DI BLOUTOT SPEAKER ADALAH BATERAI DAN KETAHANAN LAMA PUTAR NYA
157,"habis review speaker bluetooth , selanjutnya review sound sistem joss  brewok audio , riswanda"
158,"Bukan karena sekedar embel2 ""Cintai produk lokal"", tapi eggel emang bagus dan patut dijadiin bahan pertimbangan, gua gak punya bluetooth speakernya, tp gua punya tws nya dan itu bagus + sesuai harga, gak kayak produk lokal sebelah yg harganya terlalu mahal gak sesuai ekspetasi."
159,"Speaker roboot rb 100 terbaik di kelas 100 ribuan..
Bass nya mantap..gak mengecewakan.."
160,"Notif bang aku recomend ni aku dah pakai 1th lebih

Yaitu XDOBO x1
Dimensi 5x8 cm
Batrai 10jam di vol 70%
Bil qualiti ada di 8,5 dr 10%
Kisaran harga 150-180 rb
Udah tape C & memori dis
Waterprof (tdk dalam air)
Kalau hanya hujan gpp

Yg aku suka karakter suara ny
Power full dan cocok bngt buat rnb dan rock


Dgn harga segitu dia pemenang di harga 200 ribuan ....
Aku recomend banget"
161,"Bang di tokopedia ada speaker 20.000 tp laris banget, rating nya jg 4,5"
162,"20:14 langsung nonjok banget bass nya,detail nya dapet banget, wkwkkw sampe reflek bilang woah juga desainnya juga bagus banget langsung beli sih wkwkw"
163,"Kalo kalian beli speaker mahal berkualitas itu baru setengah jalan menuju kualitas suara yg bagus , coba denger pake lagu format FLAC baru mantab."
164,"team speaker eggel, udah pake eggel active 2 , bass nya agak kurang nendang (dikit) tapi stereonya udah mantep banget!"
